2020-09-08 20:42:17.8713 INFO Total catalogs: 139
2020-09-08 20:42:18.2203 INFO Total catalogs: 139
2020-09-08 20:42:18.2899 INFO Total files: 419
2020-09-08 20:42:18.3887 INFO Total files: 419
2020-09-08 20:42:18.8631 INFO 'img0.avi:' e3ff5f1c8a9317a9fb306ead08588568 => e3ff5f1c8a9317a9fb306ead08588568
2020-09-08 20:42:19.2443 INFO 'img0.bdrip:' ded3c9760b8e2aa22b210f7d209dd965 => ded3c9760b8e2aa22b210f7d209dd965
2020-09-08 20:42:19.8429 INFO 'img0.dv:' 113f154a4604298d7fa0762b83c25780 => 113f154a4604298d7fa0762b83c25780
2020-09-08 20:42:20.2917 INFO 'img0.dvdrip:' 78239b5022149ad8bfe3e31abd632485 => 78239b5022149ad8bfe3e31abd632485
2020-09-08 20:42:20.6347 INFO 'img0.hdrip:' ae229045a97dbe19eea03df2f35894aa => ae229045a97dbe19eea03df2f35894aa
2020-09-08 20:42:20.8480 INFO 'img0.mov:' 98e1f517a05cfde6dfd52a4c9cd6eb71 => 98e1f517a05cfde6dfd52a4c9cd6eb71
2020-09-08 20:42:21.3945 INFO 'img1.bdrip:' e16bb837a6c1b432c57a4fa9ea239287 => e16bb837a6c1b432c57a4fa9ea239287
2020-09-08 20:42:21.7431 INFO 'img1.dv:' a6cf720b694a8be8526173c23d3b1d22 => a6cf720b694a8be8526173c23d3b1d22
2020-09-08 20:42:22.1395 INFO 'img1.dvd:' c819d04b08d5b28c7c3d05d6966f8f96 => c819d04b08d5b28c7c3d05d6966f8f96
2020-09-08 20:42:22.3800 INFO 'img1.hdrip:' cc876600c4a998878aa77091d597216f => cc876600c4a998878aa77091d597216f
2020-09-08 20:42:22.6237 INFO 'img1.mpeg:' 035128c873c8fde1e4e8ebc2013d3cb2 => 035128c873c8fde1e4e8ebc2013d3cb2
2020-09-08 20:42:22.9208 INFO 'img2.avi:' df0cc17ea74983db934e0146cf9c7494 => df0cc17ea74983db934e0146cf9c7494
2020-09-08 20:42:23.0766 INFO 'img2.bdrip:' 220ec91f3ef6caa868cc173402f93f6b => 220ec91f3ef6caa868cc173402f93f6b
2020-09-08 20:42:23.4593 INFO 'img2.mov:' bc6742f55112293b5a831677d275274e => bc6742f55112293b5a831677d275274e
2020-09-08 20:42:23.7033 INFO 'img3.mpeg:' c955ca4a076b15f2dae6ca5aa8185b59 => c955ca4a076b15f2dae6ca5aa8185b59
2020-09-08 20:42:24.0424 INFO 'img0.aiff:' c75ed3532719cfcc4be990e33d22faa2 => c75ed3532719cfcc4be990e33d22faa2
2020-09-08 20:42:24.4046 INFO 'img0.flac:' 3789e314118b5dacab5e8c8300f4de41 => 3789e314118b5dacab5e8c8300f4de41
2020-09-08 20:42:24.7226 INFO 'img0.wav:' 1fb1427ab08458b77dcfce2b43ddae97 => 1fb1427ab08458b77dcfce2b43ddae97
2020-09-08 20:42:25.1436 INFO 'img0.wma:' 42bd7b8f81ab46771906c18526365574 => 42bd7b8f81ab46771906c18526365574
2020-09-08 20:42:25.5528 INFO 'img1.wav:' 40ef9757c32b33b1dbbc5564d15f2e70 => 40ef9757c32b33b1dbbc5564d15f2e70
2020-09-08 20:42:25.7641 INFO 'img1.wma:' 1b5da4dde055acd7f1c7c0b85235a388 => 1b5da4dde055acd7f1c7c0b85235a388
2020-09-08 20:42:26.1127 INFO 'img2.aiff:' e52a8276f1452a2967c165ba2bd958a1 => e52a8276f1452a2967c165ba2bd958a1
2020-09-08 20:42:26.4878 INFO 'img2.alac:' af87878d38864abbc9dc290e9a5cc7c2 => af87878d38864abbc9dc290e9a5cc7c2
2020-09-08 20:42:26.7648 INFO 'img2.flac:' 2c7f1c1070a3b6cbd128b2501691b9a3 => 2c7f1c1070a3b6cbd128b2501691b9a3
2020-09-08 20:42:26.9335 INFO 'img3.wav:' 6529c29ac5042969b60f02937b8babf6 => 6529c29ac5042969b60f02937b8babf6
2020-09-08 20:42:27.1525 INFO 'img0.bmp:' 86c93c0c48a5150434bd3595297339ac => 86c93c0c48a5150434bd3595297339ac
2020-09-08 20:42:27.3952 INFO 'img0.jpeg:' 104ba286fc487389fa8c9ed28ead27ca => 104ba286fc487389fa8c9ed28ead27ca
2020-09-08 20:42:27.6956 INFO 'img0.png:' 2ca23808a56b1055bdce01f5201c53dd => 2ca23808a56b1055bdce01f5201c53dd
2020-09-08 20:42:27.9590 INFO 'img0.psd:' 4a0a1be1dc6f95b7b14621fadefafd04 => 4a0a1be1dc6f95b7b14621fadefafd04
2020-09-08 20:42:28.1659 INFO 'img0.raw:' 26f46f786e95d9e6e8aabeb1b3f6f8f8 => 26f46f786e95d9e6e8aabeb1b3f6f8f8
2020-09-08 20:42:28.5410 INFO 'img0.tiff:' 04c45be9181766c1637b506f6c254e3b => 04c45be9181766c1637b506f6c254e3b
2020-09-08 20:42:28.7790 INFO 'img1.bmp:' ab9e7b8c9dfb6fdb870acd2ebf24416e => ab9e7b8c9dfb6fdb870acd2ebf24416e
2020-09-08 20:42:29.1049 INFO 'img1.gif:' 9f6fbc05079a9d2dab00f61937a97902 => 9f6fbc05079a9d2dab00f61937a97902
2020-09-08 20:42:29.4055 INFO 'img1.jpeg:' b1e3bdd203c51245025517bae06d388b => b1e3bdd203c51245025517bae06d388b
2020-09-08 20:42:29.8186 INFO 'img1.png:' 37db5bfc8d8ad7e4fa7175cf051fc9c9 => 37db5bfc8d8ad7e4fa7175cf051fc9c9
2020-09-08 20:42:30.2932 INFO 'img1.psd:' 548216732d12aca4fc841b3dbd6cd677 => 548216732d12aca4fc841b3dbd6cd677
2020-09-08 20:42:30.5277 INFO 'img1.raw:' 23f070787c164e18bd28b9c61f974160 => 23f070787c164e18bd28b9c61f974160
2020-09-08 20:42:30.9033 INFO 'img1.tiff:' ddd044c8c85562d0e9b52cba1ccdf23d => ddd044c8c85562d0e9b52cba1ccdf23d
2020-09-08 20:42:31.3670 INFO 'img2.bmp:' cfa4cda6296fbc3408ae11d83439971c => cfa4cda6296fbc3408ae11d83439971c
2020-09-08 20:42:31.7240 INFO 'img2.jpeg:' af37b200799404d9036be5ba365e7105 => af37b200799404d9036be5ba365e7105
2020-09-08 20:42:32.1811 INFO 'img2.png:' 3470ad1e56e192b14efd9f82085ef006 => 3470ad1e56e192b14efd9f82085ef006
2020-09-08 20:42:32.7308 INFO 'img2.raw:' b2c005a4ddd7d73ac781c4d295ab4ac4 => b2c005a4ddd7d73ac781c4d295ab4ac4
2020-09-08 20:42:33.2468 INFO 'img3.jpeg:' cfae373972026cc64adaa337e3521b7b => cfae373972026cc64adaa337e3521b7b
2020-09-08 20:42:33.6038 INFO 'img3.psd:' 4b28b58a71a706db65b1c364f9171815 => 4b28b58a71a706db65b1c364f9171815
2020-09-08 20:42:34.0286 INFO 'img3.raw:' 383b51d181d2284f6ae336009a77cba8 => 383b51d181d2284f6ae336009a77cba8
2020-09-08 20:42:34.5223 INFO 'img0.dvd:' 601076c0d0caf4f6bb61a752b1a0a704 => 601076c0d0caf4f6bb61a752b1a0a704
2020-09-08 20:42:35.0626 INFO 'img1.dv:' b99b8d8d00f1e60d63ed7b8df6895546 => b99b8d8d00f1e60d63ed7b8df6895546
2020-09-08 20:42:35.5018 INFO 'img0.bdrip:' 276c1078df2e58d839663bfe62003072 => 276c1078df2e58d839663bfe62003072
2020-09-08 20:42:35.8628 INFO 'img0.mpeg:' c1464441aa62b7e0d9f1105469782c1e => c1464441aa62b7e0d9f1105469782c1e
2020-09-08 20:42:36.1759 INFO 'img1.dvdrip:' d605d4061c1aaaea3dda37be6e50e1bc => d605d4061c1aaaea3dda37be6e50e1bc
2020-09-08 20:42:36.5213 INFO 'img0.dv:' 1e3ccd91431c7f74a7e4a672542b80a1 => 1e3ccd91431c7f74a7e4a672542b80a1
2020-09-08 20:42:37.1776 INFO 'img0.dvd:' 9f035145beb8e8757872f251b777db68 => 9f035145beb8e8757872f251b777db68
2020-09-08 20:42:37.8057 INFO 'img1.bdrip:' fe72ed65e371afcb60cc73d204bc1763 => fe72ed65e371afcb60cc73d204bc1763
2020-09-08 20:42:38.2630 INFO 'img1.hdrip:' 20a07b713ba62d4ca86dd72f8cddfddb => 20a07b713ba62d4ca86dd72f8cddfddb
2020-09-08 20:42:38.7176 INFO 'img2.bdrip:' 446955e0e372fd4efc85b70bb0bce7fe => 446955e0e372fd4efc85b70bb0bce7fe
2020-09-08 20:42:39.1306 INFO 'img2.mov:' 59925c61f1f6eb53886d424cb11e1c07 => 59925c61f1f6eb53886d424cb11e1c07
2020-09-08 20:42:39.5695 INFO 'img3.avi:' ff853ecc038750eaf9059b22901363b9 => ff853ecc038750eaf9059b22901363b9
2020-09-08 20:42:39.6402 INFO 'sadas.txt:' d41d8cd98f00b204e9800998ecf8427e => d41d8cd98f00b204e9800998ecf8427e
2020-09-08 20:42:40.1159 INFO 'img0.mpeg:' 17ec08620e211d607c2cf9a466153fca => 17ec08620e211d607c2cf9a466153fca
2020-09-08 20:42:40.6890 INFO 'img1.flv:' 2e3ed14c7910dca5e662b458ff8dbca5 => 2e3ed14c7910dca5e662b458ff8dbca5
